txn_id,invoice_id,amount,date
TXN131,INV135,212649,2025-02-06
TXN132,INV136,162289,2025-04-14
TXN133,INV137,161370,2025-09-01
TXN134,INV138,240135,2025-04-15
TXN135,INV139,256381,2025-03-20
TXN136,INV140,89301,2025-06-05
TXN137,INV141,92432,2025-06-29
TXN138,INV142,232736,2025-08-11
TXN139,INV143,113611,2025-08-18
TXN140,INV144,123998,2025-04-07
TXN141,INV145,240638,2025-02-16
TXN142,INV146,278968,2025-08-17
TXN143,INV147,264398,2025-02-06
TXN144,INV148,266251,2025-04-10
TXN145,INV149,89144,2025-05-24
TXN146,INV150,76048,2025-07-09
TXN147,INV151,67154,2025-07-03
TXN148,INV152,221280,2025-07-19
TXN149,INV153,209862,2025-04-21
TXN150,INV154,141340,2025-02-04
TXN151,INV155,198513,2025-01-26
TXN152,INV156,195674,2025-05-16
TXN153,INV157,173485,2025-06-27
TXN154,INV158,272081,2025-07-02
TXN155,INV159,75547,2025-05-20
TXN156,INV160,87773,2025-03-17
TXN157,INV161,164905,2025-08-26
TXN158,INV162,242239,2025-05-22
TXN159,INV163,256022,2025-04-27
TXN160,INV164,160407,2025-03-10
TXN161,INV165,183678,2025-03-10
TXN162,INV166,255075,2025-06-17
TXN163,INV167,203558,2025-09-07
TXN164,INV168,83255,2025-03-05
TXN165,INV169,253746,2025-03-09
TXN166,INV170,211959,2025-08-11
TXN167,INV171,100020,2025-02-04
TXN168,INV172,136055,2025-06-13
TXN169,INV173,95102,2025-02-27
TXN170,INV174,279457,2025-01-24
TXN171,INV175,294505,2025-04-26
TXN172,INV176,271311,2025-07-10
TXN173,INV177,241056,2025-09-10
TXN174,INV178,152154,2025-05-06
TXN175,INV179,92790,2025-04-18
TXN176,INV180,105666,2025-05-01
TXN177,INV181,101910,2025-03-13
TXN178,INV182,259974,2025-02-02
TXN179,INV183,138535,2025-09-12
TXN180,INV184,106237,2025-04-09
TXN181,INV003,569227,2025-09-05
TXN182,INV021,78571,2025-09-06
TXN183,INV022,78571,2025-09-08
TXN184,INV045,259552,2025-09-08
