po_id,vendor_id,amount,department,created_date,status
PO086,V006,273419,Procurement,2025-01-03,approved
PO087,V008,105667,Facilities,2025-01-26,approved
PO088,V002,83856,Facilities,2025-03-09,approved
PO089,V003,168223,Procurement,2025-08-14,approved
PO090,V004,103144,Operations,2025-04-23,approved
PO091,V014,227815,IT,2025-06-06,approved
PO092,V013,141505,Procurement,2025-06-20,approved
PO093,V014,229149,HR,2025-01-27,approved
PO094,V015,62678,Procurement,2025-08-16,approved
PO095,V002,92719,Operations,2025-03-11,approved
PO096,V005,223502,HR,2025-03-29,approved
PO097,V004,121679,IT,2025-05-10,approved
PO098,V008,86321,Procurement,2025-01-24,approved
PO099,V011,207091,IT,2025-01-12,approved
PO100,V001,214632,Operations,2025-06-13,approved
PO101,V005,174088,Marketing,2025-05-22,approved
PO102,V012,203652,Procurement,2025-01-29,approved
PO103,V002,101489,HR,2025-08-20,approved
PO104,V003,140273,IT,2025-05-30,approved
PO105,V009,109132,Operations,2025-01-11,approved
PO106,V005,196726,Procurement,2025-08-19,approved
PO107,V006,189018,Operations,2025-06-20,approved
PO108,V002,75895,Facilities,2025-08-15,approved
PO109,V014,211772,Facilities,2025-07-11,approved
PO110,V003,167682,Operations,2025-08-10,approved
PO111,V003,171319,Operations,2025-08-14,approved
PO112,V007,62926,HR,2025-08-25,approved
PO113,V006,256205,Marketing,2025-07-25,approved
PO114,V011,257115,Operations,2025-03-10,approved
PO115,V003,157705,Procurement,2025-04-08,approved
PO116,V014,168670,Marketing,2025-02-26,approved
PO117,V004,129203,Marketing,2025-03-31,approved
PO118,V005,247549,Operations,2025-02-27,approved
PO119,V001,255053,Marketing,2025-03-26,approved
PO120,V005,252434,IT,2025-03-31,approved
PO121,V011,216838,HR,2025-08-04,approved
PO122,V009,122037,Procurement,2025-01-30,approved
PO123,V015,96834,Operations,2025-05-29,approved
PO124,V005,160339,Facilities,2025-04-22,approved
PO125,V006,249884,IT,2025-04-22,approved
PO126,V010,283503,Procurement,2025-04-09,approved
PO127,V015,80746,IT,2025-01-12,approved
PO128,V012,204585,Facilities,2025-08-25,approved
PO129,V013,133546,HR,2025-08-29,approved
PO130,V012,238122,Operations,2025-04-04,approved
PO131,V007,64922,HR,2025-08-24,approved
PO132,V006,237512,HR,2025-08-06,approved
PO133,V002,91738,IT,2025-05-10,approved
PO134,V005,230421,IT,2025-04-14,approved
PO135,V012,188940,Operations,2025-02-19,approved
PO136,V007,91198,Marketing,2025-06-23,approved
PO137,V012,256593,Facilities,2025-05-26,approved
PO138,V005,201344,Procurement,2025-03-19,approved
PO139,V005,179506,Facilities,2025-06-05,approved
PO140,V011,195584,Marketing,2025-04-24,approved
PO141,V011,183257,Marketing,2025-07-23,approved
PO142,V015,96402,HR,2025-02-13,approved
PO143,V011,168618,Facilities,2025-06-19,approved
PO144,V011,229314,Procurement,2025-07-29,approved
PO145,V013,112631,IT,2025-02-27,approved
PO146,V013,110169,Procurement,2025-01-12,approved
PO147,V004,138958,Facilities,2025-08-06,approved
PO148,V013,101468,Marketing,2025-08-15,approved
PO149,V011,224364,HR,2025-06-28,approved
PO150,V007,83666,Operations,2025-02-07,approved
