invoice_id,vendor_id,po_id,amount,date,time
INV086,V004,PO062,96066,2025-02-10,13:49
INV087,V002,PO049,70176,2025-04-11,17:17
INV088,V004,PO074,135071,2025-07-09,13:53
INV089,V002,PO003,77646,2025-08-24,16:55
INV090,V009,PO075,102439,2025-01-20,16:22
INV091,V012,PO102,204709,2025-02-09,17:24
INV092,V005,PO134,240394,2025-04-29,12:44
INV093,V002,PO027,67685,2025-07-30,12:54
INV094,V012,PO008,156274,2025-03-14,16:45
INV095,V005,PO096,220955,2025-04-11,11:31
INV096,V011,PO060,163805,2025-07-08,18:21
INV097,V006,PO107,196090,2025-06-24,16:06
INV098,V013,PO148,105632,2025-09-01,09:46
INV099,V006,PO053,171119,2025-03-18,11:04
INV100,V011,PO054,220141,2025-02-19,13:21
INV101,V013,PO009,118629,2025-08-27,10:54
INV102,V011,PO149,232269,2025-07-09,17:24
INV103,V014,PO091,230703,2025-06-17,16:55
INV104,V003,PO104,133762,2025-06-17,10:15
INV105,V003,PO089,176590,2025-08-24,10:27
INV106,V001,PO050,252582,2025-06-04,10:28
INV107,V005,PO030,269460,2025-06-30,09:02
INV108,V012,PO020,196718,2025-05-19,13:22
INV109,V014,PO018,166729,2025-04-25,12:33
INV110,V008,PO011,107127,2025-02-25,11:10
INV111,V001,PO070,282891,2025-09-01,15:39
INV112,V007,PO131,64906,2025-09-01,18:09
INV113,V009,PO043,152086,2025-06-26,13:29
INV114,V005,PO139,182500,2025-06-14,16:57
INV115,V011,PO140,199057,2025-05-04,11:04
INV116,V010,PO037,198586,2025-07-30,18:19
INV117,V013,PO092,144198,2025-07-04,16:54
INV118,V004,PO010,128138,2025-03-23,15:54
INV119,V004,PO147,133492,2025-08-22,15:36
INV120,V015,PO123,97558,2025-06-10,13:01
INV121,V012,PO031,164955,2025-07-25,18:55
INV122,V010,PO081,246901,2025-01-23,16:53
INV123,V007,PO063,71863,2025-03-15,12:38
INV124,V012,PO128,198836,2025-09-06,12:39
INV125,V001,PO100,218447,2025-06-22,11:40
INV126,V011,PO099,215445,2025-01-16,09:19
INV127,V011,PO036,183880,2025-05-25,14:46
INV128,V012,PO137,246076,2025-05-31,13:20
INV129,V002,PO108,73433,2025-08-29,11:50
INV130,V011,PO141,190155,2025-08-10,14:33
INV131,V004,PO097,126710,2025-05-27,11:16
INV132,V015,PO067,92087,2025-02-28,13:47
INV133,V014,PO116,173801,2025-03-09,16:04
INV134,V009,PO122,125138,2025-02-04,12:55
INV135,V001,PO041,212649,2025-02-03,17:23
INV136,V003,PO115,162289,2025-04-11,09:16
INV137,V003,PO110,161370,2025-08-28,14:43
INV138,V012,PO130,240135,2025-04-13,14:06
INV139,V011,PO114,256381,2025-03-18,18:56
INV140,V007,PO082,89301,2025-06-01,18:14
INV141,V007,PO136,92432,2025-06-26,16:58
INV142,V011,PO144,232736,2025-08-08,10:08
INV143,V013,PO035,113611,2025-08-13,13:31
INV144,V004,PO117,123998,2025-04-04,17:08
INV145,V005,PO032,240638,2025-02-11,17:26
INV146,V014,PO064,278968,2025-08-14,11:56
INV147,V012,PO013,264398,2025-02-02,16:39
INV148,V001,PO119,266251,2025-04-09,13:02
INV149,V002,PO133,89144,2025-05-22,16:15
INV150,V015,PO046,76048,2025-07-08,14:34
INV151,V007,PO057,67154,2025-06-30,13:12
INV152,V014,PO109,221280,2025-07-15,16:05
INV153,V011,PO028,209862,2025-04-16,18:01
INV154,V004,PO002,141340,2025-01-29,12:08
INV155,V005,PO033,198513,2025-01-20,17:13
INV156,V011,PO048,195674,2025-05-15,12:21
INV157,V011,PO143,173485,2025-06-24,18:00
INV158,V012,PO072,272081,2025-06-28,11:08
INV159,V007,PO058,75547,2025-05-18,11:07
INV160,V004,PO015,87773,2025-03-12,14:50
INV161,V005,PO019,164905,2025-08-21,09:11
INV162,V012,PO034,242239,2025-05-18,15:33
INV163,V006,PO125,256022,2025-04-26,16:28
INV164,V009,PO045,160407,2025-03-08,10:28
INV165,V012,PO135,183678,2025-03-08,18:02
INV166,V012,PO055,255075,2025-06-14,09:03
INV167,V005,PO106,203558,2025-09-04,15:43
INV168,V015,PO016,83255,2025-03-02,16:04
INV169,V006,PO061,253746,2025-03-08,11:04
INV170,V011,PO121,211959,2025-08-09,18:35
INV171,V008,PO005,100020,2025-02-01,18:33
INV172,V009,PO023,136055,2025-06-09,18:27
INV173,V015,PO007,95102,2025-02-23,10:54
INV174,V006,PO086,279457,2025-01-21,12:27
INV175,V010,PO126,294505,2025-04-24,15:21
INV176,V006,PO083,271311,2025-07-06,10:20
INV177,V001,PO076,241056,2025-09-07,13:23
INV178,V003,PO085,152154,2025-05-03,16:04
INV179,V002,PO079,92790,2025-04-17,10:27
INV180,V004,PO090,105666,2025-04-27,14:51
INV181,V002,PO080,101910,2025-03-10,18:35
INV182,V014,PO065,259974,2025-01-31,10:26
INV183,V013,PO129,138535,2025-09-10,15:55
INV184,V007,PO024,106237,2025-04-05,18:19
INV003,V001,PO039,569227,2025-09-04,23:47
INV021,V002,PO003,78571,2025-09-05,14:10
INV022,V002,PO003,78571,2025-09-06,10:05
INV045,V003,,259552,2025-09-07,16:20
